"ID","code","AGE","H","S","BA","Bio"
1,1,13,2,152.67461253491,4.89938246561258,32.6715513615386
2,1,15,3.5,68.2382490309867,1.387268410963,5.69810525822984
3,1,20,4.2,128.326832996906,3.38849238373082,22.631467218516
4,1,19,4.2,204.93927562944,4.37532422232006,18.9138861547203
5,1,13,4.2,95.6971260028768,1.90406304000966,6.51195127065489
6,1,25,4.7,153.693934977303,4.12981007520759,28.0247387193416
7,1,18,4.7,114.832531539283,2.51811545781934,11.7721338433944
8,1,35,4.8,305.90450609116,7.58552272424819,27.8698316964412
9,1,28,4.8,359.050194237096,8.83614821724177,41.8398960100615
10,1,39,5.1,310.236648554269,7.32514359812785,36.2462296287313
11,1,30,5.3,334.026614845654,7.89551395774937,38.5020930273293
12,1,16,5.3,522.325553663503,11.3332071405318,45.8280373271348
13,1,18,5.4,117.800007257238,2.85096588070161,13.9166758603818
14,1,14,5.4,105.549591637675,2.15135796023403,9.35214141505816
15,1,30,5.7,466.874519877971,11.2569024364654,54.1827050904305
16,1,18,5.7,404.195576303943,8.30390928035539,33.8791417520313
17,1,47,5.8,248.251598947495,6.36636717833583,40.4263571731445
18,1,15,5.8,234.580104486675,4.84848558750475,19.9424472382604
19,1,18,6,127.745077969493,3.2526970412794,20.1317297126526
20,1,57,6.1,585.785884013601,14.4120562983432,70.6198674143779
21,1,20,6.1,588.400764539155,14.6586222342648,81.0998242679173
22,1,13,6.1,76.8274327598128,1.66185342636379,7.18783261771069
23,1,45,6.3,766.588358672433,20.9520373525226,151.237762865467
24,1,33,6.3,408.589217444356,10.3802802763893,50.7327249042369
25,1,20,6.3,353.95520270137,7.43024174128059,31.1947502455449
26,1,14,6.3,106.780789590813,2.46253740151636,10.7239328013344
27,1,13,6.3,215.029626349691,4.83062085640713,20.1986846569672
28,1,45,6.4,340.276534173356,8.56673632843799,44.9617809546667
29,1,42,6.4,233.163639671593,5.71324149495614,31.2760300702638
30,1,38,6.5,701.704330249868,21.3047809144831,160.047715638302
31,1,28,6.5,244.857930096163,5.99689009308024,31.8546398310472
32,1,67,6.6,882.984049671142,21.5150683421426,107.136917133713
33,1,30,6.6,241.210563311485,5.77091814687409,33.5873439244254
34,1,35,6.7,178.567272550387,4.37574769259846,24.5117607732539
35,1,25,6.7,177.309739557998,4.15826127020617,20.0849000942593
36,1,9,6.8,255.342007951369,5.23267423537323,21.3647506303967
37,1,51,6.9,548.809269935413,15.9127060190221,112.562899320162
38,1,35,6.9,538.339711347367,12.7904643453305,59.8527891729598
39,1,28,6.9,554.290983925078,13.160119903527,14.0238146671957
40,1,25,6.9,537.528903202642,13.1577230715199,63.7854577293589
41,1,22,7,346.993927781042,9.01758828295597,51.6691607384866
42,1,16,7,251.683068563212,5.61681423544502,24.5721362477299
43,1,20,7.1,661.485855726721,15.6972033131104,79.1173638764688
44,1,53,7.2,213.110256871444,4.92830475297969,25.3198049518926
45,1,37,7.2,428.837549582388,10.4386918226335,53.7155559192808
46,1,34,7.2,465.839882743175,10.9748986809128,56.5401907656995
47,1,30,7.2,710.138783974181,16.9309571543259,81.7105799672318
48,1,25,7.2,533.022975800489,11.8012755796036,52.5926002007738
49,1,21,7.2,421.324413018492,9.84961946230514,44.7976624059621
50,1,50,7.3,648.556216936448,15.4140485194286,83.6477434597687
51,1,15,7.3,361.863418982178,9.29127199535246,60.2564443995934
52,1,63,7.4,813.637582622753,19.4598923510231,98.8498827471913
53,1,55,7.4,446.75730704404,12.6797722916767,84.7856920651025
54,1,54,7.4,294.583065755163,8.04511472433561,52.1165773339968
55,1,62,7.5,459.311392694008,12.4374278708834,61.2172795117481
56,1,46,7.5,567.477441784886,15.3584807201912,84.9268647067603
57,1,42,7.5,514.565765769179,12.8243084611883,63.2273935778182
58,1,45,7.6,347.830726812141,8.533517942423,46.5056636524579
59,1,27,7.6,138.53263886271,3.18910924247534,13.9608867752916
60,1,20,7.6,349.421479688818,7.29679438766691,29.4969283507194
61,1,43,7.7,241.53024256895,6.00485001554857,33.5940692751002
62,1,40,7.7,598.394138279492,14.7351101979026,72.5512662923536
63,1,25,7.7,408.379876017767,10.4727870900682,52.7510007428304
64,1,15,7.7,157.870864829095,3.33605489437487,14.5904629416346
65,1,14,7.7,684.065991705557,15.0640422752089,67.5603400166555
66,1,80,7.8,285.972427992709,7.73646643377614,42.67164709434
67,1,62,7.8,562.315495747219,13.9180146736274,69.7089930188048
68,1,47,7.8,592.564534060237,14.1800238916821,75.1929983788284
69,1,45,7.8,356.260753008275,8.73597395399277,48.1771817659223
